StudentID,Name,Math,Science,English,History,Computer,Attendance
1,Aarav,70,77,84,70,70,87
2,Riya,48,37,46,37,37,77
3,Karan,42,44,53,49,60,76
4,Ananya,29,55,39,42,29,57
5,Aditya,58,48,61,53,55,71
6,Meera,86,71,63,78,62,81
7,Arjun,24,30,43,48,43,66
8,Neha,69,60,66,68,80,84
9,Sameer,57,74,68,66,76,86
10,Shreya,79,65,69,74,79,90
11,Dev,70,63,62,78,82,82
12,Anika,66,60,52,60,70,74
13,Varun,95,75,92,88,86,94
14,Simran,12,26,30,39,23,55
15,Arnav,53,65,60,53,62,69
16,Pooja,79,66,69,68,60,85
17,Rohit,44,42,39,29,38,67
18,Priya,83,87,90,97,88,93
19,Vivek,57,42,57,58,77,76
20,Sneha,74,71,62,81,78,84
21,Harsh,33,54,29,47,61,71
22,Divya,36,42,37,28,42,57
23,Siddharth,61,50,70,51,55,67
24,Kavya,30,44,53,27,43,71
25,Raj,49,30,30,46,44,67
26,Anjali,30,22,29,30,22,57
27,Kunal,90,82,91,83,91,100
28,Nisha,65,79,75,78,87,90
29,Akshat,35,33,34,41,45,63
30,Tanvi,64,58,69,55,78,76
31,Abhishek,65,63,75,70,77,88
32,Deepa,71,65,59,68,78,87
33,Nikhil,62,73,75,64,73,86
34,Swati,18,30,32,36,36,55
35,Yash,20,32,32,32,48,41
36,Aparna,52,50,47,39,48,69
37,Manish,39,37,42,62,25,58
38,Shweta,45,54,66,58,49,79
39,Vinay,48,35,43,42,36,59
40,Rekha,77,55,73,66,78,95
41,Ayaan,57,62,64,48,55,69
42,Ishita,52,72,61,47,65,71
43,Parth,66,45,54,68,52,89
44,Radhika,91,83,87,75,82,96
45,Sahil,48,71,46,54,59,73
46,Tanya,46,67,58,50,61,85
47,Mihir,67,72,68,72,77,85
48,Palak,18,45,12,26,32,70
49,Chirag,53,56,54,53,64,76
50,Kriti,66,79,74,78,77,86
51,Lakshya,36,48,47,41,43,58
52,Asha,53,62,56,56,66,83
53,Surya,64,68,58,63,55,80
54,Keerthi,70,72,76,65,88,86
55,Aryan,31,52,49,47,47,56
56,Bhavna,83,88,84,92,87,94
57,Dhruv,86,90,85,83,89,92
58,Nalini,67,68,73,60,60,86
59,Omkar,70,74,83,78,70,81
60,Preeti,63,71,69,74,65,84
61,Rishabh,95,87,90,91,85,96
62,Sakshi,72,72,65,72,75,86
63,Tejas,92,98,84,92,88,99
64,Uma,21,21,23,11,23,75
65,Vikram,73,74,87,79,67,81
66,Waqar,31,17,42,37,24,46
67,Xavier,68,57,67,45,53,63
68,Yamini,58,54,62,49,56,75
69,Zakir,32,33,19,15,38,56
70,Alisha,52,70,58,67,58,77
71,Bhuvan,86,70,79,77,82,95
72,Chetna,63,66,43,48,41,68
73,Divakar,91,95,88,96,81,94
74,Esha,87,89,87,77,87,89
75,Faisal,77,74,64,67,63,78
76,Gauri,35,20,32,23,21,54
77,Hemant,32,37,31,59,42,64
78,Isha,73,71,70,76,78,81
79,Jayesh,36,39,21,28,54,60
80,Kamya,56,62,60,78,66,86
81,Lalit,50,45,59,51,46,74
82,Mallika,32,57,49,41,55,59
83,Naveen,51,70,62,49,56,75
84,Olga,29,50,59,29,47,57
85,Pavan,54,53,51,58,51,70
86,Qasim,57,56,50,53,64,76
87,Rajeev,33,42,48,26,46,69
88,Shruti,76,65,57,58,72,81
89,Tarun,50,63,44,57,48,76
90,Usha,58,51,54,66,53,70
91,Vipul,18,32,39,8,21,63
92,Wasim,56,60,53,58,56,79
93,Xenia,89,89,85,85,85,98
94,Yogesh,54,60,74,64,55,77
95,Zara,68,55,63,57,69,91
96,Amrita,71,60,56,64,40,75
97,Bharat,64,46,67,60,54,76
98,Charu,90,73,73,68,65,88
99,Dilnoza,21,28,24,31,30,63
100,Ekta,85,86,83,85,89,98
101,Faiz,33,49,54,45,58,71
102,Girish,81,79,95,91,87,92
103,Harshita,62,91,73,72,77,86
104,Irfan,73,65,75,87,82,87
105,Jayant,53,50,56,58,66,86
106,Komal,95,87,85,82,79,89
107,Lokesh,42,30,30,38,57,71
108,Madhu,59,70,69,55,71,83
109,Nakul,63,72,67,55,49,73
110,Ojas,72,72,71,73,70,97
111,Pushkar,23,27,23,22,28,49
112,Ramya,84,55,80,81,55,83
113,Sagar,86,80,84,82,96,93
114,Trisha,82,77,62,67,75,89
115,Utkarsh,91,86,86,91,90,91
116,Vandana,93,82,91,90,86,93
117,Waseem,30,50,40,37,51,67
118,Xander,29,27,47,30,57,59
119,Yuvraj,85,73,71,67,75,74
120,Zoya,93,88,88,86,87,94
121,Abhi,14,17,33,29,26,58
122,Bhavya,74,67,65,73,64,85
123,Chetan,58,80,75,74,79,87
124,Diya,66,43,47,53,58,86
125,Eshan,84,88,84,84,80,96
126,Fatima,47,50,66,50,78,68
127,Gaurav,59,51,63,53,58,78
128,Hina,87,93,84,87,96,100
129,Ishan,72,63,53,63,65,70
130,Jyoti,27,35,39,41,47,69
131,Kalpesh,61,75,76,76,80,85
132,Laxmi,61,57,44,61,59,80
133,Mukesh,61,63,80,71,77,86
134,Nidhi,28,35,23,28,24,55
135,Omkar_2,39,43,37,53,33,61
136,Prerna,68,83,73,80,60,84
137,Rahul,79,72,80,67,83,86
138,Sonal,86,85,95,95,85,100
139,Tushar,86,81,83,82,84,93
140,Vaishnavi,89,95,83,92,86,94
141,Arun,91,82,89,88,90,94
142,Bharati,62,36,37,36,37,67
143,Chandan,81,83,67,65,75,81
144,Deepak,63,59,45,70,72,71
145,Elina,54,60,60,63,74,70
146,Farhaan,51,46,52,57,72,73
147,Gita,59,57,67,78,53,71
148,Hemraj,80,77,86,76,69,82
149,Indu,66,64,62,66,67,79
150,Jatin,91,87,88,94,83,99
